prefix,lat,lon,name,category,in_h1,out_h1,in_h2,out_h2,in_h3,out_h3,in_h4,out_h4,in_h5,out_h5,in_h6,out_h6,in_h7,out_h7,in_h8,out_h8,in_h9,out_h9,in_h10,out_h10,in_h11,out_h11,in_h12,out_h12,in_h13,out_h13,in_h14,out_h14,in_h15,out_h15,in_h16,out_h16,in_h17,out_h17,in_h18,out_h18,in_h19,out_h19,in_h20,out_h20,in_h21,out_h21,in_h22,out_h22,in_h23,out_h23,in_h24,out_h24,cap
ehs,29.64353,-82.343826,Env. Health and Safety EHS,unknown,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1,7,2,11,0,11,8,15,4,23,5,14,5,15,6,15,8,15,6,17,2,6,1,1,2,4,0,2,2,6,0,1,1,0,24
elm,29.643476,-82.366184,Elmore Hall,admin,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,1,4,1,6,8,7,5,5,3,4,4,4,2,0,2,0,10,4,5,1,2,4,2,1,2,1,4,1,1,1,2,1,1,8
elmv,29.643476,-82.366184,Elmore Hall,admin,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,1,4,1,6,8,7,5,5,3,4,4,4,2,0,2,0,10,4,5,1,2,4,2,1,2,1,4,1,1,1,2,1,1,8
eyn,29.634543,-82.366474,Entomology-Nematology,academic,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,7,2,4,2,2,4,2,6,4,7,5,6,5,9,3,4,4,6,4,2,2,3,1,3,3,3,0,2,0,1,0,1,8
faa,29.648127,-82.340636,Fine Arts A,academic,2,2,3,1,0,0,1,0,0,0,0,0,0,2,10,5,20,14,21,26,21,28,34,31,33,31,27,30,17,16,17,11,11,4,1,5,4,7,5,8,4,2,2,0,0,1,1,2,52
fab,29.648118,-82.339764,Fine Arts B,academic,5,2,1,3,1,2,0,1,0,1,0,0,0,5,12,12,14,37,54,27,24,30,20,55,46,18,9,36,12,16,7,16,2,15,3,6,6,15,16,8,8,6,3,3,1,4,0,1,54
fac,29.647768,-82.340343,Fine Arts C,academic,6,8,4,7,6,3,0,3,0,0,2,2,9,5,19,11,26,38,51,64,73,77,58,65,66,84,58,53,28,40,24,36,29,44,16,26,19,19,15,15,11,24,16,14,11,20,5,3,94
facB,29.647768,-82.340343,Fine Arts C,academic,6,8,4,7,6,3,0,3,0,0,2,2,9,5,19,11,26,38,51,64,73,77,58,65,66,84,58,53,28,40,24,36,29,44,16,26,19,19,15,15,11,24,16,14,11,20,5,3,94
fad,29.648372,-82.340171,Fine Arts D,academic,0,1,1,0,0,1,0,0,0,1,1,0,1,1,3,1,14,7,22,19,19,17,10,22,19,12,10,17,14,17,11,6,5,7,1,4,3,3,5,8,3,1,0,0,0,1,0,1,25
ff,29.638503,-82.357321,Forestry Resource and Conserv. FF1,unknown,0,1,0,1,0,0,0,0,0,0,1,0,0,1,3,3,5,2,5,5,12,5,9,8,3,3,3,5,9,9,5,2,3,5,4,5,1,0,1,1,1,1,2,0,2,1,1,3,14
ff1,29.638525,-82.35733,Forestry Resource and Conservation,admin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fif,29.63847,-82.361135,Fifield Hall,academic,1,1,0,1,0,0,0,1,0,0,0,1,3,3,5,3,4,3,12,11,16,10,13,7,10,11,9,13,11,9,8,16,9,11,5,6,1,1,3,0,2,4,2,6,0,3,1,2,17
fifv,29.63847,-82.361135,Fifield Hall,academic,1,1,0,1,0,0,0,1,0,0,0,1,3,3,5,3,4,3,12,11,16,10,13,7,10,11,9,13,11,9,8,16,9,11,5,6,1,1,3,0,2,4,2,6,0,3,1,2,17
flg,29.649463,-82.347294,Florida Gym,sports,0,1,0,0,0,0,0,0,0,0,0,1,1,11,12,34,60,47,65,47,51,71,90,58,55,47,64,63,75,21,27,13,13,7,3,5,4,4,2,1,7,2,2,1,1,2,0,0,101
fli,29.651575,-82.34385,Keene-Flint Hall,academic,13,8,3,7,0,2,0,1,0,2,0,1,3,3,11,19,37,51,58,99,90,94,85,98,82,105,55,69,35,50,27,40,17,36,13,24,6,8,5,11,5,13,14,14,10,26,9,16,99
flih,29.649981,-82.332703,Innovation Hub,academic,0,0,3,0,0,0,0,0,0,0,1,0,3,1,6,3,3,3,2,5,4,5,4,2,6,4,4,1,2,7,4,6,3,7,2,3,1,2,2,1,1,4,0,0,2,1,1,2,13
flo,29.650131,-82.343723,Griffin-Floyd Hall,academic,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,10,14,10,26,26,37,32,36,23,20,25,17,20,17,11,14,7,8,4,2,1,1,1,2,3,0,2,1,0,3,1,0,0,67
fpof,29.65047,-82.347275,Florida Pool Offices/Lockers,sports,1,0,0,1,0,0,1,2,0,1,7,1,2,0,4,2,9,2,7,6,4,2,6,8,8,13,7,11,11,15,10,9,10,8,2,5,10,13,7,9,6,1,0,0,4,1,4,1,11
fsf,29.648006,-82.350075,Gator Corner Dining Center,social,0,0,3,1,0,0,0,0,0,0,1,0,6,6,18,8,29,8,24,11,7,16,14,15,16,23,11,20,4,17,13,14,6,12,5,11,15,17,9,11,6,11,1,2,1,1,2,1,25
ger,29.650745,-82.340119,Gerson Hall,academic,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,7,4,1,1,5,10,8,8,8,6,2,6,7,6,10,7,8,5,7,1,0,2,5,1,3,0,3,1,2,1,2,2,0,48
gerc,29.650745,-82.340119,Gerson Hall,academic,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,7,4,1,1,5,10,8,8,8,6,2,6,7,6,10,7,8,5,7,1,0,2,5,1,3,0,3,1,2,1,2,2,0,48
gri,29.649287,-82.342056,Grinter Hall,academic,3,4,2,4,1,2,2,2,0,0,2,1,4,7,6,21,17,21,28,39,38,73,69,74,72,44,30,38,31,38,31,34,30,17,16,15,18,8,15,8,4,16,3,6,7,5,8,4,77
harn,29.637031,-82.370247,Harn Museum Of Art,museum,0,6,1,0,0,0,0,0,0,0,1,0,3,0,12,1,8,2,11,3,10,4,6,6,8,9,10,5,10,10,10,11,7,15,2,1,3,5,2,3,4,5,1,1,1,0,3,4,18
harng,29.637031,-82.370247,Harn Museum Of Art,museum,0,6,1,0,0,0,0,0,0,0,1,0,3,0,12,1,8,2,11,3,10,4,6,6,8,9,10,5,10,10,10,11,7,15,2,1,3,5,2,3,4,5,1,1,1,0,3,4,18
harntr,29.637031,-82.370247,Harn Museum Of Art,museum,0,6,1,0,0,0,0,0,0,0,1,0,3,0,12,1,8,2,11,3,10,4,6,6,8,9,10,5,10,10,10,11,7,15,2,1,3,5,2,3,4,5,1,1,1,0,3,4,18
her,29.651103,-82.3486,Heritage Hall,academic,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,4,0,0,0,0,3,2,4,5,6,2,3,0,5,0,9,1,6,3,3,0,0,0,1,1,0,0,0,0,0,0,0,8
hgs,29.650423,-82.340748,Hough Hall Business School,unknown,3,2,3,3,1,2,1,4,2,1,0,1,5,0,21,5,31,29,29,42,48,44,46,49,46,53,38,59,35,47,39,46,29,40,13,13,16,13,6,13,15,12,7,9,11,11,5,3,92
hol,29.649817,-82.359215,Holland Law Center,academic,2,1,1,2,0,0,0,0,1,0,0,0,5,1,9,4,25,16,27,15,40,35,29,26,44,41,29,18,31,32,21,32,23,24,16,19,7,8,9,12,10,16,7,9,4,5,5,0,78
hrb,29.651757,-82.334063,HR Building,admin,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,3,0,3,5,7,3,2,6,1,1,1,3,3,4,2,4,1,5,0,2,4,1,1,2,0,3,0,2,0,9,0,4,5
hub,29.648251,-82.345586,The Hub,social,0,0,1,1,0,0,0,0,0,0,2,0,4,13,9,28,46,59,68,92,95,103,90,112,85,96,74,66,43,56,48,40,51,17,6,7,4,2,3,2,1,5,6,1,4,0,0,1,108
hume,29.644505,-82.352442,Hume Commons,housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,1,9,7,11,14,1,7,4,4,4,5,5,2,5,9,1,5,8,4,1,0,2,5,1,2,1,2,1,0,1,2,9
iblc,29.652301,-82.342142,Institute Of Black Culture,social,8,5,4,4,0,0,1,0,0,0,2,0,4,1,12,6,7,7,8,12,13,22,8,24,18,17,13,18,13,10,10,11,8,14,9,7,17,5,7,6,11,9,8,8,6,14,10,7,26
ihlc,29.652293,-82.341916,Hispanic/Latino Cultures Inst,social,5,4,6,3,0,0,1,0,0,1,1,0,0,0,6,3,11,8,11,5,18,14,21,21,12,26,11,19,10,12,7,19,6,10,10,13,9,9,7,10,4,7,6,7,13,5,3,6,31
imag,29.63781,-82.362908,Mycology Lab,academic,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,2,3,1,4,2,5,6,2,7,2,4,1,7,8,3,3,7,4,2,0,5,0,0,3,1,1,2,2,1,1,1,0,0,6
impl,29.645697,-82.343192,Office Building,admin,0,0,0,0,0,0,1,0,0,0,0,1,1,1,3,1,1,1,3,1,2,1,2,2,3,5,2,0,1,4,0,3,1,1,1,0,3,0,0,1,1,4,3,0,0,0,1,0,10
inf,29.649513,-82.346505,Infirmary,academic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,7,13,13,21,12,9,15,9,15,23,11,15,15,12,3,5,0,0,0,1,1,2,1,1,1,0,1,0,0,0,0,27
infb,29.649513,-82.346505,Infirmary,academic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,7,13,13,21,12,9,15,9,15,23,11,15,15,12,3,5,0,0,0,1,1,2,1,1,1,0,1,0,0,0,0,27
